open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
10869.00;10878.80;10836.50;10838.00;0;2015-02-05 10:00:00;^GDAXI;2015-02-05 10:00:00;60min;US/Eastern
10839.00;10908.00;10829.00;10886.00;0;2015-02-05 11:00:00;^GDAXI;2015-02-05 11:00:00;60min;US/Eastern
10884.50;10912.80;10884.30;10898.30;0;2015-02-05 12:00:00;^GDAXI;2015-02-05 12:00:00;60min;US/Eastern
10898.00;10901.50;10871.30;10886.80;0;2015-02-05 13:00:00;^GDAXI;2015-02-05 13:00:00;60min;US/Eastern
10887.00;10895.50;10882.80;10886.00;0;2015-02-05 14:00:00;^GDAXI;2015-02-05 14:00:00;60min;US/Eastern
10885.80;10893.00;10879.00;10885.30;0;2015-02-05 15:00:00;^GDAXI;2015-02-05 15:00:00;60min;US/Eastern
10886.30;10904.30;10882.50;10902.00;0;2015-02-05 16:00:00;^GDAXI;2015-02-05 16:00:00;60min;US/Eastern
10878.50;10887.30;10860.50;10875.50;0;2015-02-06 03:00:00;^GDAXI;2015-02-06 03:00:00;60min;US/Eastern
10877.30;10880.30;10825.00;10827.80;0;2015-02-06 04:00:00;^GDAXI;2015-02-06 04:00:00;60min;US/Eastern
10828.00;10852.80;10803.80;10804.50;0;2015-02-06 05:00:00;^GDAXI;2015-02-06 05:00:00;60min;US/Eastern
10804.80;10840.50;10801.50;10812.30;0;2015-02-06 06:00:00;^GDAXI;2015-02-06 06:00:00;60min;US/Eastern
10811.80;10833.50;10810.00;10830.50;0;2015-02-06 07:00:00;^GDAXI;2015-02-06 07:00:00;60min;US/Eastern
10830.30;10845.00;10821.80;10828.80;0;2015-02-06 08:00:00;^GDAXI;2015-02-06 08:00:00;60min;US/Eastern
10827.80;10876.50;10811.00;10850.80;0;2015-02-06 09:00:00;^GDAXI;2015-02-06 09:00:00;60min;US/Eastern
10850.50;10864.00;10821.50;10829.80;0;2015-02-06 10:00:00;^GDAXI;2015-02-06 10:00:00;60min;US/Eastern
10830.00;10866.30;10823.50;10850.80;0;2015-02-06 11:00:00;^GDAXI;2015-02-06 11:00:00;60min;US/Eastern
10850.30;10861.00;10818.00;10823.50;0;2015-02-06 12:00:00;^GDAXI;2015-02-06 12:00:00;60min;US/Eastern
10824.00;10835.80;10779.00;10813.30;0;2015-02-06 13:00:00;^GDAXI;2015-02-06 13:00:00;60min;US/Eastern
10813.50;10818.00;10764.00;10791.30;0;2015-02-06 14:00:00;^GDAXI;2015-02-06 14:00:00;60min;US/Eastern
