open;high;low;close;volume;timestamp;symbol
4843.10;4848.80;4841.80;4845.10;1548;2016-11-23 18:00:00;^NDX
4845.20;4846.90;4837.70;4838.60;1506;2016-11-23 19:00:00;^NDX
4838.80;4848.90;4838.40;4842.70;2445;2016-11-23 20:00:00;^NDX
4842.50;4852.40;4842.30;4852.30;1985;2016-11-23 21:00:00;^NDX
4852.20;4852.80;4848.40;4850.40;430;2016-11-23 22:00:00;^NDX
4851.20;4852.90;4847.80;4848.20;261;2016-11-24 00:00:00;^NDX
4848.00;4848.00;4844.70;4845.60;351;2016-11-24 01:00:00;^NDX
4845.30;4845.60;4839.20;4844.10;517;2016-11-24 02:00:00;^NDX
4843.90;4848.80;4843.90;4846.40;456;2016-11-24 03:00:00;^NDX
4846.50;4849.60;4844.30;4844.40;293;2016-11-24 04:00:00;^NDX
4844.20;4847.30;4843.30;4847.30;139;2016-11-24 05:00:00;^NDX
4847.70;4848.40;4845.30;4847.30;203;2016-11-24 06:00:00;^NDX
4847.10;4848.20;4846.20;4848.10;123;2016-11-24 07:00:00;^NDX
4848.10;4851.50;4848.10;4848.40;480;2016-11-24 08:00:00;^NDX
4848.60;4853.10;4842.80;4845.80;2018;2016-11-24 09:00:00;^NDX
4845.60;4851.30;4844.70;4850.80;1225;2016-11-24 10:00:00;^NDX
4850.80;4851.90;4847.90;4849.30;755;2016-11-24 11:00:00;^NDX
4849.30;4850.40;4845.80;4847.00;639;2016-11-24 12:00:00;^NDX
4847.20;4850.30;4846.50;4847.30;552;2016-11-24 13:00:00;^NDX
4847.10;4849.20;4845.80;4849.10;423;2016-11-24 14:00:00;^NDX
4849.10;4852.40;4848.90;4851.40;476;2016-11-24 15:00:00;^NDX
4851.70;4855.20;4850.30;4855.20;378;2016-11-24 16:00:00;^NDX
4855.30;4861.70;4853.60;4861.70;432;2016-11-24 17:00:00;^NDX
4861.70;4862.20;4860.30;4860.90;104;2016-11-24 18:00:00;^NDX
4860.20;4861.70;4857.20;4858.30;178;2016-11-25 00:00:00;^NDX
4858.10;4861.70;4856.90;4861.40;220;2016-11-25 01:00:00;^NDX
4861.30;4866.40;4860.60;4865.10;461;2016-11-25 02:00:00;^NDX
4865.10;4865.90;4861.80;4862.30;287;2016-11-25 03:00:00;^NDX
4862.10;4863.10;4858.10;4858.10;219;2016-11-25 04:00:00;^NDX
4858.20;4860.30;4855.90;4856.30;253;2016-11-25 05:00:00;^NDX
4856.50;4859.60;4855.70;4859.10;318;2016-11-25 06:00:00;^NDX
4859.10;4861.30;4856.80;4859.90;346;2016-11-25 07:00:00;^NDX
4859.70;4861.70;4855.30;4857.60;402;2016-11-25 08:00:00;^NDX
4857.60;4861.70;4853.90;4853.90;1660;2016-11-25 09:00:00;^NDX
4854.00;4860.60;4852.80;4856.40;897;2016-11-25 10:00:00;^NDX
4856.50;4858.70;4854.80;4855.70;519;2016-11-25 11:00:00;^NDX
4855.50;4856.70;4853.90;4856.10;629;2016-11-25 12:00:00;^NDX
4856.10;4859.90;4855.70;4858.30;463;2016-11-25 13:00:00;^NDX
4858.30;4860.10;4854.80;4856.20;735;2016-11-25 14:00:00;^NDX
4855.80;4863.70;4852.50;4862.90;3228;2016-11-25 15:00:00;^NDX
4862.50;4863.60;4856.10;4859.60;2442;2016-11-25 16:00:00;^NDX
4859.70;4867.70;4858.60;4867.40;1563;2016-11-25 17:00:00;^NDX
4866.80;4870.20;4863.70;4867.40;1226;2016-11-25 18:00:00;^NDX
4868.10;4869.60;4866.80;4869.60;67;2016-11-25 19:00:00;^NDX
4870.60;4870.60;4870.50;4870.60;77;2016-11-28 00:00:00;^NDX
4870.50;4870.60;4856.60;4857.60;481;2016-11-28 01:00:00;^NDX
4857.20;4862.60;4856.30;4859.30;790;2016-11-28 02:00:00;^NDX
4859.00;4862.10;4857.30;4858.70;583;2016-11-28 03:00:00;^NDX
4858.70;4863.80;4858.60;4863.60;308;2016-11-28 04:00:00;^NDX
4863.60;4864.70;4861.90;4864.20;247;2016-11-28 05:00:00;^NDX
4864.20;4864.80;4862.10;4864.30;359;2016-11-28 06:00:00;^NDX
4864.10;4867.20;4864.00;4864.80;256;2016-11-28 07:00:00;^NDX
4865.10;4865.90;4859.60;4860.10;478;2016-11-28 08:00:00;^NDX
4859.90;4859.90;4842.60;4849.30;1970;2016-11-28 09:00:00;^NDX
4849.30;4856.80;4849.00;4856.80;1124;2016-11-28 10:00:00;^NDX
