open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
2081.80;2085.60;2080.10;2083.40;0;2015-11-10 22:00:00;^SPX;2015-11-10 22:00:00;240min;US/Eastern
2083.40;2088.90;2081.80;2087.40;0;2015-11-11 02:00:00;^SPX;2015-11-11 02:00:00;240min;US/Eastern
2087.30;2091.70;2085.10;2088.90;0;2015-11-11 06:00:00;^SPX;2015-11-11 06:00:00;240min;US/Eastern
2088.80;2088.90;2074.40;2084.70;0;2015-11-11 10:00:00;^SPX;2015-11-11 10:00:00;240min;US/Eastern
2084.60;2084.70;2072.40;2073.40;0;2015-11-11 14:00:00;^SPX;2015-11-11 14:00:00;240min;US/Eastern
2071.80;2077.90;2071.80;2077.40;0;2015-11-11 18:00:00;^SPX;2015-11-11 18:00:00;240min;US/Eastern
2077.40;2078.90;2075.50;2078.90;0;2015-11-11 22:00:00;^SPX;2015-11-11 22:00:00;240min;US/Eastern
2078.80;2081.60;2073.20;2074.60;0;2015-11-12 02:00:00;^SPX;2015-11-12 02:00:00;240min;US/Eastern
2074.50;2074.90;2065.80;2067.80;0;2015-11-12 06:00:00;^SPX;2015-11-12 06:00:00;240min;US/Eastern
2067.80;2068.00;2053.30;2058.10;0;2015-11-12 10:00:00;^SPX;2015-11-12 10:00:00;240min;US/Eastern
2058.20;2061.60;2044.10;2045.10;0;2015-11-12 14:00:00;^SPX;2015-11-12 14:00:00;240min;US/Eastern
2043.50;2049.20;2042.50;2048.80;0;2015-11-12 18:00:00;^SPX;2015-11-12 18:00:00;240min;US/Eastern
2048.70;2049.30;2044.60;2045.70;0;2015-11-12 22:00:00;^SPX;2015-11-12 22:00:00;240min;US/Eastern
2045.90;2050.00;2044.20;2045.80;0;2015-11-13 02:00:00;^SPX;2015-11-13 02:00:00;240min;US/Eastern
2045.70;2047.50;2037.80;2041.50;0;2015-11-13 06:00:00;^SPX;2015-11-13 06:00:00;240min;US/Eastern
2041.70;2043.50;2025.50;2033.80;0;2015-11-13 10:00:00;^SPX;2015-11-13 10:00:00;240min;US/Eastern
2034.00;2035.00;2021.00;2022.30;0;2015-11-13 14:00:00;^SPX;2015-11-13 14:00:00;240min;US/Eastern
