open;high;low;close;volume;timestamp;symbol
19061.00;19075.00;19046.00;19060.00;1051;2016-11-23 18:00:00;^DJI
19061.00;19070.00;19059.00;19062.00;732;2016-11-23 19:00:00;^DJI
19061.00;19075.00;19050.00;19063.00;1424;2016-11-23 20:00:00;^DJI
19062.00;19084.00;19060.00;19080.00;1051;2016-11-23 21:00:00;^DJI
19079.00;19085.00;19076.00;19084.00;245;2016-11-23 22:00:00;^DJI
19090.00;19093.00;19071.00;19074.00;230;2016-11-24 00:00:00;^DJI
19073.00;19079.00;19067.00;19075.00;277;2016-11-24 01:00:00;^DJI
19073.00;19079.00;19059.00;19075.00;369;2016-11-24 02:00:00;^DJI
19076.00;19083.00;19072.00;19080.00;215;2016-11-24 03:00:00;^DJI
19081.00;19084.00;19074.00;19075.00;149;2016-11-24 04:00:00;^DJI
19074.00;19078.00;19073.00;19078.00;88;2016-11-24 05:00:00;^DJI
19079.00;19081.00;19075.00;19076.00;152;2016-11-24 06:00:00;^DJI
19075.00;19080.00;19074.00;19080.00;75;2016-11-24 07:00:00;^DJI
19081.00;19093.00;19079.00;19086.00;262;2016-11-24 08:00:00;^DJI
19087.00;19101.00;19074.00;19087.00;1166;2016-11-24 09:00:00;^DJI
19086.00;19096.00;19085.00;19094.00;720;2016-11-24 10:00:00;^DJI
19095.00;19098.00;19089.00;19094.00;436;2016-11-24 11:00:00;^DJI
19095.00;19102.00;19088.00;19092.00;351;2016-11-24 12:00:00;^DJI
19093.00;19102.00;19091.00;19093.00;298;2016-11-24 13:00:00;^DJI
19093.00;19099.00;19090.00;19099.00;243;2016-11-24 14:00:00;^DJI
19100.00;19131.00;19099.00;19123.00;444;2016-11-24 15:00:00;^DJI
19124.00;19138.00;19124.00;19129.00;316;2016-11-24 16:00:00;^DJI
19131.00;19147.00;19125.00;19144.00;276;2016-11-24 17:00:00;^DJI
19145.00;19147.00;19140.00;19142.00;92;2016-11-24 18:00:00;^DJI
19142.00;19142.00;19127.00;19129.00;137;2016-11-25 00:00:00;^DJI
19130.00;19134.00;19125.00;19133.00;174;2016-11-25 01:00:00;^DJI
19134.00;19147.00;19130.00;19141.00;339;2016-11-25 02:00:00;^DJI
19140.00;19143.00;19135.00;19136.00;224;2016-11-25 03:00:00;^DJI
19135.00;19138.00;19124.00;19124.00;147;2016-11-25 04:00:00;^DJI
19125.00;19132.00;19121.00;19121.00;174;2016-11-25 05:00:00;^DJI
19122.00;19130.00;19120.00;19129.00;215;2016-11-25 06:00:00;^DJI
19128.00;19136.00;19124.00;19133.00;254;2016-11-25 07:00:00;^DJI
19133.00;19136.00;19122.00;19128.00;294;2016-11-25 08:00:00;^DJI
19127.00;19138.00;19119.00;19122.00;1069;2016-11-25 09:00:00;^DJI
19121.00;19143.00;19120.00;19135.00;579;2016-11-25 10:00:00;^DJI
19136.00;19140.00;19127.00;19128.00;306;2016-11-25 11:00:00;^DJI
19129.00;19134.00;19125.00;19132.00;283;2016-11-25 12:00:00;^DJI
19133.00;19141.00;19131.00;19140.00;280;2016-11-25 13:00:00;^DJI
19141.00;19142.00;19130.00;19135.00;367;2016-11-25 14:00:00;^DJI
19134.00;19141.00;19120.00;19137.00;1400;2016-11-25 15:00:00;^DJI
19138.00;19145.00;19129.00;19133.00;1353;2016-11-25 16:00:00;^DJI
19134.00;19141.00;19129.00;19135.00;833;2016-11-25 17:00:00;^DJI
19134.00;19151.00;19125.00;19148.00;675;2016-11-25 18:00:00;^DJI
19153.00;19162.00;19147.00;19160.00;75;2016-11-25 19:00:00;^DJI
19148.00;19148.00;19126.00;19128.00;318;2016-11-28 00:00:00;^DJI
19129.00;19137.00;19108.00;19114.00;350;2016-11-28 01:00:00;^DJI
19113.00;19125.00;19105.00;19111.00;516;2016-11-28 02:00:00;^DJI
19110.00;19116.00;19093.00;19105.00;502;2016-11-28 03:00:00;^DJI
19106.00;19120.00;19106.00;19118.00;218;2016-11-28 04:00:00;^DJI
19119.00;19122.00;19115.00;19121.00;158;2016-11-28 05:00:00;^DJI
19122.00;19129.00;19115.00;19126.00;243;2016-11-28 06:00:00;^DJI
19125.00;19130.00;19117.00;19119.00;170;2016-11-28 07:00:00;^DJI
19120.00;19126.00;19108.00;19109.00;275;2016-11-28 08:00:00;^DJI
19110.00;19111.00;19074.00;19090.00;1289;2016-11-28 09:00:00;^DJI
19091.00;19107.00;19089.00;19107.00;715;2016-11-28 10:00:00;^DJI
19107.00;19126.00;19104.00;19109.00;722;2016-11-28 11:00:00;^DJI
19108.00;19113.00;19100.00;19108.00;632;2016-11-28 12:00:00;^DJI
19107.00;19125.00;19099.00;19120.00;573;2016-11-28 13:00:00;^DJI
19121.00;19122.00;19108.00;19114.00;515;2016-11-28 14:00:00;^DJI
19115.00;19121.00;19087.00;19102.00;1932;2016-11-28 15:00:00;^DJI
19103.00;19137.00;19071.00;19074.00;2259;2016-11-28 16:00:00;^DJI
19075.00;19105.00;19075.00;19105.00;1977;2016-11-28 17:00:00;^DJI
19106.00;19140.00;19104.00;19123.00;1338;2016-11-28 18:00:00;^DJI
19122.00;19126.00;19104.00;19121.00;938;2016-11-28 19:00:00;^DJI
19123.00;19130.00;19113.00;19116.00;879;2016-11-28 20:00:00;^DJI
19117.00;19119.00;19088.00;19101.00;1287;2016-11-28 21:00:00;^DJI
19100.00;19119.00;19100.00;19109.00;371;2016-11-28 22:00:00;^DJI
19095.00;19095.00;19079.00;19082.00;135;2016-11-29 00:00:00;^DJI
19083.00;19090.00;19083.00;19088.00;171;2016-11-29 01:00:00;^DJI
19087.00;19092.00;19084.00;19089.00;241;2016-11-29 02:00:00;^DJI
19090.00;19099.00;19088.00;19096.00;246;2016-11-29 03:00:00;^DJI
19095.00;19099.00;19090.00;19093.00;107;2016-11-29 04:00:00;^DJI
19092.00;19094.00;19086.00;19086.00;86;2016-11-29 05:00:00;^DJI
19087.00;19090.00;19085.00;19088.00;130;2016-11-29 06:00:00;^DJI
19087.00;19092.00;19086.00;19091.00;134;2016-11-29 07:00:00;^DJI
19091.00;19111.00;19090.00;19106.00;351;2016-11-29 08:00:00;^DJI
19108.00;19119.00;19095.00;19118.00;1026;2016-11-29 09:00:00;^DJI
19117.00;19131.00;19108.00;19117.00;697;2016-11-29 10:00:00;^DJI
19118.00;19121.00;19105.00;19110.00;475;2016-11-29 11:00:00;^DJI
19109.00;19121.00;19109.00;19110.00;378;2016-11-29 12:00:00;^DJI
19109.00;19125.00;19107.00;19108.00;569;2016-11-29 13:00:00;^DJI
19109.00;19113.00;19094.00;19098.00;705;2016-11-29 14:00:00;^DJI
19097.00;19111.00;19070.00;19077.00;2184;2016-11-29 15:00:00;^DJI
19078.00;19118.00;19075.00;19117.00;2290;2016-11-29 16:00:00;^DJI
19118.00;19136.00;19106.00;19131.00;1377;2016-11-29 17:00:00;^DJI
19130.00;19139.00;19121.00;19139.00;1090;2016-11-29 18:00:00;^DJI
19140.00;19143.00;19125.00;19137.00;863;2016-11-29 19:00:00;^DJI
19138.00;19145.00;19131.00;19137.00;927;2016-11-29 20:00:00;^DJI
19136.00;19137.00;19109.00;19126.00;1481;2016-11-29 21:00:00;^DJI
19125.00;19132.00;19119.00;19121.00;221;2016-11-29 22:00:00;^DJI
19123.00;19123.00;19116.00;19120.00;95;2016-11-30 00:00:00;^DJI
19121.00;19126.00;19116.00;19124.00;119;2016-11-30 01:00:00;^DJI
19123.00;19131.00;19120.00;19125.00;270;2016-11-30 02:00:00;^DJI
19124.00;19129.00;19122.00;19124.00;155;2016-11-30 03:00:00;^DJI
19123.00;19124.00;19106.00;19110.00;224;2016-11-30 04:00:00;^DJI
19111.00;19120.00;19107.00;19116.00;163;2016-11-30 05:00:00;^DJI
19115.00;19119.00;19108.00;19110.00;202;2016-11-30 06:00:00;^DJI
19111.00;19126.00;19110.00;19125.00;187;2016-11-30 07:00:00;^DJI
19125.00;19132.00;19123.00;19126.00;245;2016-11-30 08:00:00;^DJI
19125.00;19156.00;19119.00;19148.00;1350;2016-11-30 09:00:00;^DJI
19147.00;19156.00;19132.00;19139.00;1158;2016-11-30 10:00:00;^DJI
19138.00;19146.00;19128.00;19139.00;868;2016-11-30 11:00:00;^DJI
19140.00;19159.00;19139.00;19159.00;648;2016-11-30 12:00:00;^DJI
19160.00;19166.00;19156.00;19163.00;799;2016-11-30 13:00:00;^DJI
19162.00;19172.00;19157.00;19171.00;742;2016-11-30 14:00:00;^DJI
19170.00;19224.00;19170.00;19198.00;2212;2016-11-30 15:00:00;^DJI
19199.00;19215.00;19168.00;19186.00;2441;2016-11-30 16:00:00;^DJI
19185.00;19215.00;19178.00;19196.00;2239;2016-11-30 17:00:00;^DJI
19195.00;19200.00;19177.00;19192.00;1327;2016-11-30 18:00:00;^DJI
19191.00;19201.00;19183.00;19190.00;1048;2016-11-30 19:00:00;^DJI
19189.00;19191.00;19139.00;19150.00;1672;2016-11-30 20:00:00;^DJI
19149.00;19182.00;19134.00;19135.00;1930;2016-11-30 21:00:00;^DJI
19134.00;19154.00;19133.00;19142.00;538;2016-11-30 22:00:00;^DJI
19149.00;19154.00;19131.00;19151.00;286;2016-12-01 00:00:00;^DJI
19150.00;19151.00;19139.00;19143.00;292;2016-12-01 01:00:00;^DJI
19142.00;19151.00;19140.00;19147.00;342;2016-12-01 02:00:00;^DJI
19148.00;19169.00;19146.00;19163.00;306;2016-12-01 03:00:00;^DJI
19164.00;19168.00;19160.00;19165.00;162;2016-12-01 04:00:00;^DJI
19164.00;19170.00;19161.00;19164.00;164;2016-12-01 05:00:00;^DJI
19163.00;19168.00;19157.00;19160.00;263;2016-12-01 06:00:00;^DJI
19159.00;19161.00;19119.00;19124.00;402;2016-12-01 07:00:00;^DJI
19124.00;19153.00;19124.00;19145.00;397;2016-12-01 08:00:00;^DJI
19146.00;19156.00;19129.00;19145.00;1206;2016-12-01 09:00:00;^DJI
19146.00;19147.00;19126.00;19133.00;715;2016-12-01 10:00:00;^DJI
19132.00;19148.00;19130.00;19133.00;681;2016-12-01 11:00:00;^DJI
19134.00;19141.00;19128.00;19138.00;450;2016-12-01 12:00:00;^DJI
19139.00;19141.00;19126.00;19135.00;392;2016-12-01 13:00:00;^DJI
19136.00;19176.00;19134.00;19171.00;509;2016-12-01 14:00:00;^DJI
19170.00;19198.00;19153.00;19183.00;2287;2016-12-01 15:00:00;^DJI
19184.00;19205.00;19167.00;19198.00;4105;2016-12-01 16:00:00;^DJI
19197.00;19213.00;19168.00;19201.00;3243;2016-12-01 17:00:00;^DJI
19202.00;19211.00;19175.00;19181.00;1969;2016-12-01 18:00:00;^DJI
19180.00;19183.00;19160.00;19164.00;1849;2016-12-01 19:00:00;^DJI
19165.00;19194.00;19164.00;19191.00;2028;2016-12-01 20:00:00;^DJI
19189.00;19197.00;19167.00;19189.00;2212;2016-12-01 21:00:00;^DJI
19188.00;19208.00;19188.00;19201.00;410;2016-12-01 22:00:00;^DJI
19196.00;19196.00;19180.00;19188.00;194;2016-12-02 00:00:00;^DJI
19187.00;19199.00;19187.00;19190.00;267;2016-12-02 01:00:00;^DJI
19191.00;19194.00;19181.00;19182.00;293;2016-12-02 02:00:00;^DJI
19183.00;19184.00;19173.00;19180.00;178;2016-12-02 03:00:00;^DJI
19181.00;19184.00;19171.00;19172.00;173;2016-12-02 04:00:00;^DJI
19171.00;19175.00;19168.00;19173.00;190;2016-12-02 05:00:00;^DJI
19174.00;19186.00;19164.00;19186.00;196;2016-12-02 06:00:00;^DJI
19185.00;19189.00;19175.00;19185.00;214;2016-12-02 07:00:00;^DJI
19185.00;19188.00;19179.00;19188.00;294;2016-12-02 08:00:00;^DJI
19189.00;19189.00;19170.00;19174.00;1192;2016-12-02 09:00:00;^DJI
19175.00;19182.00;19163.00;19174.00;753;2016-12-02 10:00:00;^DJI
19175.00;19177.00;19165.00;19169.00;435;2016-12-02 11:00:00;^DJI
19170.00;19177.00;19167.00;19168.00;406;2016-12-02 12:00:00;^DJI
19169.00;19188.00;19167.00;19186.00;409;2016-12-02 13:00:00;^DJI
19185.00;19200.00;19174.00;19193.00;1136;2016-12-02 14:00:00;^DJI
19192.00;19196.00;19141.00;19174.00;2247;2016-12-02 15:00:00;^DJI
19175.00;19189.00;19152.00;19177.00;2439;2016-12-02 16:00:00;^DJI
